1.  SEDAN TYPE SALES                                                                                                                            `JAN-DEC 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,SPECIFICATION,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,SHARE BY BRAND,MARKET SHARE,TOTAL 2018
,,BRAND ,TYPE MODEL,CC ,TRANS,FUEL,"TANK
CAPT","GVW
(Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSION
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU / CKD ,"ORIGIN
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG ,SEP,OCT,NOV,DEC,,,
,,,Luxio 1.5 D (New),1495,MT,G,43,1290,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,-,-,0%,0%,-
,,,Luxio 1.5 D MT (New),1495,MT,G,45,1320,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,95,63,91,112,110,96,202,74,64,98,111,83,0.2%,0.2%,1199
,,,Luxio 1.5 X MT (New),1495,MT,G,43,1320,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,149,144,209,266,203,128,154,199,179,175,185,143,0.4%,0.3%,2134
,,,Luxio 1.5 X AT (New),1495,AT,G,43,1320,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA,38,36,32,54,41,32,41,52,46,50,53,33,0.1%,0.1%,508
,,,All New Terios X AT,1496,MT,G,45,1245,5571,215/65/R16,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,299,52,283,426,603,250,1050,913,953,1079,1351,627,1.6%,1.2%,7886
,,,All New Terios R MT,1496,AT,G,45,1255,5857,215/65/R16,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,77,39,151,109,149,76,164,169,88,176,354,335,0.4%,0.3%,1887
,,,All New Terios R AT,1496,MT,G,45,1260,5571,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,1581,913,1029,1345,1199,431,1153,1142,927,1313,1379,1015,2.7%,2.1%,13427
,,,All New Terios R MT,1496,AT,G,45,1270,5857,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA,555,601,875,668,708,166,767,792,711,986,771,302,1.6%,1.2%,7902
,,,All New Terios Custom MT,1496,MT,G,45,1260,5571,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,42,59,44,31,0%,0%,176
,,,All New Terios Custom AT,1496,AT,G,45,1270,5857,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA,-,-,-,-,-,-,-,-,41,59,45,30,0%,0%,175
,,DATSUN,Datsun Cross 1.2 MT,1198,MT,G,0,0,0,175/65 R15,0,2450,3995 x 1670 x 1560,5+2,4X2,-,-,-,4,CKD,INA,-,-,784,13,5,1,3,2,2,-,-,4,0.2%,0.1%,814
,,,Datsun Cross 1.2 CVT,1198,AT,G,0,0,0,175/65 R15,0,2450,3995 x 1670 x 1560,5+2,4X2,-,-,-,4,CKD,INA,-,-,1439,-,2,4,5,15,9,2,-,3,0.3%,0.2%,1479
,,,Datsun Go Live MT,1198,MT,G,0,0,0,175/65 R16,0,2450,3995 x 1670 x 1560,5,4X2,-,-,-,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,34,24,0%,0%,58
,,,Datsun Go Live CVT,1198,AT,G,0,0,0,175/65 R17,0,2450,3995 x 1670 x 1560,5,4X2,-,-,-,4,CKD,INA,-,-,-,-,-,-,-,-,-,-,30,7,0%,0%,37
