NO.,SPECIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,MONTH,,,,,,,,,,,,TOTAL
,EXPORTER,,,BRAND,,,,MODEL,,,CC,"TRANS
(AT/MT)","FUEL
(G/D)","TANK
CAPT","GVW
(Kg)",GEAR,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSI ON
P x L x T",SEATER,DRIVE SYS.,SPEED,DOOR,WHEELS,CBU / CKD / COMP,"DEST.
COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
1      CBU EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (New Caledonia),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Fiji),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (St. Lucia),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Sudan),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Samoa),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Vanuatu),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rush (Balize),,,"1,496",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Philippines),,,"1,000",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Philippines),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Brunei),,,"1,000",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Brunei),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Srilanka),,,"1,000",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Srilanka),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Guatemala),,,"1,000",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Guatemala),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Honduras),,,"1,000",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Honduras),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Elsavador),,,"1,000",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Elsavador),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Costarica),,,"1,000",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Costarica),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Panama),,,"1,000",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Panama),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Nicaragua),,,"1,000",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Nicaragua),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Peru),,,"1,000",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Peru),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Aruba),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Curacao),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Dominica),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Haiti),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Jamaica),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Trinidad),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Mauritius),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Antigua),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Antigua),,,"1,000",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Barbados),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (G. Cayman),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (St Kitts),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Vietnam),,,"1,000",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Vietnam),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Bolivia),,,"1,000",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Bolivia),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (St. Marteen),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Puerto Rico),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Bermuda),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Lebanon),,,"1,000",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Lebanon),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (TTC EA RHD),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Kenya),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Ghana),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Guyana),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (West Africa),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wigo (Bahamas),,,"1,000",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYOTA TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TOTAL
SUZUKI",,APV-PU FD,,,"1,495",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,APV-GE,,,"1,595",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carry 1.5 PU WD,,,"1,493",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,New Carry CHASIS,,,"1,493",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carry 1.5 PU FD,,,"1,493",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,APV-PU FD,,,"1,495",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,APV-PU XTRA,,,"1,495",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,APV-GE,,,"1,495",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,APV SGX,,,"1,495",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,APV SGX AT,,,"1,495",,AT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,APV-PU FD,,,"1,595",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,APV-PU XTRA,,,"1,595",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,APV-GE,,,"1,595",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,APV SGX,,,"1,595",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ALL NEW Ertiga GA,,,"1,462",,MT,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
